match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
167348,Icebox,KOI,NRG,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-13,-29.799999999999983,-10.0,10.0,5.0
167348,Haven,KOI,NRG,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-13,-21.599999999999994,-7.0,7.0,-11.0
167349,Haven,DetonatioN FocusMe,Giants Gaming,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-13,-71.4,-26.0,26.0,-15.0
167349,Icebox,DetonatioN FocusMe,Giants Gaming,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-13,-30.200000000000017,-19.0,19.0,1.0
167350,Pearl,Gen.G,LOUD,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-15.0,-7.0,7.0,10.0
167350,Fracture,Gen.G,LOUD,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-0.5999999999999943,3.0,-3.0,11.0
167351,Lotus,FunPlus Phoenix,Karmine Corp,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,-49.0,-23.0,23.0,-3.0
167351,Haven,FunPlus Phoenix,Karmine Corp,1,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,17.400000000000006,13.0,-14.0,1.0
167351,Pearl,FunPlus Phoenix,Karmine Corp,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,-47.19999999999999,-20.0,20.0,4.0
167352,Pearl,BBL Esports,DRX,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,-76.79999999999998,-25.0,25.0,-21.0
167352,Ascent,BBL Esports,DRX,1,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,-5.600000000000023,6.0,-6.0,-4.0
167352,Haven,BBL Esports,DRX,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,-50.599999999999994,-22.0,22.0,-18.0
167353,Lotus,Cloud9,Paper Rex,1,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,37.400000000000006,19.0,-19.0,11.0
167353,Pearl,Cloud9,Paper Rex,1,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-14,73.0,29.0,-29.0,24.0
167354,Pearl,Team Heretics,Evil Geniuses,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-10.799999999999983,-7.0,7.0,-8.0
167354,Ascent,Team Heretics,Evil Geniuses,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-45.20000000000002,-19.0,19.0,-18.0
167355,Haven,MIBR,TALON,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-5.599999999999994,-3.0,3.0,2.0
167355,Fracture,MIBR,TALON,0,Bo3,Bracket Stage: Alpha - Round of 16,2023-02-15,-6.0,-3.0,3.0,20.0
167356,Lotus,NRG,Giants Gaming,0,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-17,-21.0,-13.0,13.0,1.0
167356,Haven,NRG,Giants Gaming,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-17,66.39999999999998,22.0,-22.0,15.0
167356,Icebox,NRG,Giants Gaming,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-17,54.0,24.0,-24.0,25.0
167357,Pearl,LOUD,Karmine Corp,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-17,3.6000000000000227,5.0,-5.0,-4.0
167357,Split,LOUD,Karmine Corp,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-17,15.599999999999994,7.0,-8.0,1.0
167358,Pearl,DRX,Cloud9,0,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-18,-67.0,-29.0,29.0,-15.0
167358,Haven,DRX,Cloud9,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-18,41.60000000000002,19.0,-20.0,18.0
167358,Icebox,DRX,Cloud9,1,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-18,84.79999999999998,29.0,-29.0,14.0
167359,Haven,Evil Geniuses,TALON,0,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-18,-29.599999999999994,-14.0,14.0,9.0
167359,Split,Evil Geniuses,TALON,0,Bo3,Bracket Stage: Alpha - Quarterfinals,2023-02-18,-6.0,-7.0,7.0,10.0
