iter	Passed	Remaining
0	338	676504
1	466	466523
2	604	402534
3	730	364519
4	851	339895
5	995	330936
6	1121	319286
7	1256	312922
8	1379	305183
9	1505	299513
10	1629	294729
11	1764	292313
12	1887	288476
13	2006	284704
14	2130	281915
15	2257	279921
16	2400	280023
17	2537	279435
18	2674	278821
19	2803	277544
20	2942	277272
21	3063	275442
22	3149	270704
23	3273	269487
24	3413	269697
25	3550	269531
26	3685	269323
27	3810	268347
28	3945	268177
29	4070	267279
30	4205	267110
31	4340	266924
32	4449	265223
33	4578	264725
34	4711	264543
35	4838	263947
36	4970	263684
37	5110	263886
38	5240	263486
39	5385	263870
40	5520	263775
41	5650	263423
42	5778	263000
43	5900	262315
44	6025	261775
45	6160	261694
46	6283	261084
47	6411	260729
48	6549	260768
49	6686	260776
50	6827	260925
51	6959	260719
52	7093	260578
53	7226	260427
54	7348	259866
55	7482	259762
56	7619	259721
57	7753	259593
58	7895	259743
59	8025	259498
60	8164	259508
61	8291	259179
62	8422	258951
63	8547	258563
64	8674	258227
65	8802	257945
66	8923	257458
67	9052	257183
68	9167	256569
69	9304	256531
70	9394	255244
71	9533	255284
72	9662	255059
73	9789	254801
74	9915	254486
75	10050	254432
76	10171	254018
77	10308	254004
78	10441	253903
79	10575	253801
80	10695	253392
81	10818	253044
82	10953	252994
83	11091	252993
84	11220	252799
85	11370	253052
86	11500	252888
87	11636	252824
88	11769	252722
89	11903	252608
90	12023	252227
91	12156	252120
92	12286	251941
93	12406	251564
94	12534	251347
95	12620	250313
96	12751	250158
97	12879	249968
98	12993	249502
99	13116	249214
100	13250	249139
101	13390	249163
102	13521	249025
103	13648	248821
104	13780	248699
105	13909	248531
106	14034	248285
107	14144	247783
108	14240	247058
109	14360	246736
110	14489	246580
111	14616	246397
112	14744	246213
113	14860	245856
114	14988	245679
115	15108	245380
116	15220	244964
117	15338	244643
118	15468	244499
119	15594	244310
120	15721	244136
121	15845	243911
122	15963	243606
123	16081	243294
124	16203	243051
125	16330	242885
126	16458	242727
127	16587	242589
128	16736	242747
129	16862	242555
130	16934	241613
131	17051	241298
132	17177	241136
133	17303	240958
134	17445	241012
135	17575	240881
136	17703	240735
137	17817	240401
138	17935	240134
139	17994	239075
140	18108	238751
141	18223	238447
142	18346	238249
143	18498	238422
144	18615	238155
145	18753	238145
146	18878	237977
147	18992	237663
148	19103	237318
149	19222	237077
150	19357	237034
151	19471	236737
152	19592	236522
153	19716	236341
154	19823	235964
155	19953	235864
156	20074	235651
157	20194	235429
158	20324	235330
159	20451	235191
160	20572	234982
161	20715	235032
162	20833	234787
163	20905	234039
164	21048	234088
165	21205	234278
166	21342	234261
167	21481	234248
168	21606	234090
169	21741	234035
170	21858	233800
171	21993	233747
172	22084	233225
173	22202	232996
174	22322	232796
175	22450	232665
176	22578	232546
177	22711	232478
178	22821	232164
179	22954	232090
180	23078	231936
181	23193	231681
182	23335	231699
183	23464	231582
184	23587	231415
185	23708	231220
186	23830	231043
187	23967	231003
188	24093	230866
189	24219	230725
190	24332	230455
191	24449	230235
192	24571	230058
193	24700	229941
194	24818	229727
195	24943	229585
196	25065	229402
197	25136	228764
198	25257	228582
199	25394	228550
200	25511	228330
201	25630	228134
202	25748	227930
203	25851	227596
204	25970	227400
205	26098	227285
206	26211	227040
207	26333	226869
208	26459	226738
209	26592	226670
210	26710	226470
211	26821	226214
212	26954	226137
213	27087	226070
214	27222	226006
215	27349	225887
216	27475	225752
217	27609	225688
218	27716	225400
219	27844	225285
220	27954	225028
221	28107	225114
222	28223	224903
223	28355	224816
224	28466	224566
225	28591	224429
226	28711	224256
227	28824	224020
228	28935	223778
229	29044	223516
230	29101	222859
231	29217	222656
232	29354	222616
233	29428	222096
234	29544	221896
235	29665	221734
236	29779	221520
237	29913	221457
238	30033	221290
239	30146	221077
240	30278	220997
241	30409	220909
242	30541	220826
243	30660	220658
244	30784	220516
245	30903	220344
246	31038	220283
247	31165	220171
248	31301	220115
249	31375	219627
250	31490	219429
251	31609	219257
252	31717	219011
253	31841	218877
254	31951	218647
255	32079	218538
256	32201	218394
257	32344	218386
258	32467	218245
259	32600	218173
260	32730	218075
261	32843	217870
262	32946	217596
263	33074	217486
264	33205	217401
265	33351	217413
266	33481	217318
267	33599	217141
268	33706	216901
269	33840	216827
270	33943	216562
271	34055	216355
272	34164	216127
273	34278	215932
274	34393	215741
275	34529	215683
276	34648	215519
277	34828	215736
278	34957	215635
279	35106	215655
280	35228	215506
281	35349	215354
282	35462	215154
283	35580	214987
284	35704	214850
285	35808	214599
286	35932	214467
287	36036	214214
288	36157	214069
289	36272	213882
290	36384	213683
291	36517	213603
292	36632	213416
293	36767	213354
294	36880	213155
295	37007	213040
296	37118	212837
297	37231	212644
298	37353	212500
299	37480	212388
300	37595	212207
301	37718	212071
302	37842	211944
303	37959	211773
304	38121	211853
305	38253	211769
306	38389	211705
307	38515	211584
308	38632	211417
309	38736	211174
310	38853	211006
311	38965	210812
312	39095	210714
313	39221	210598
314	39352	210504
315	39487	210434
316	39624	210373
317	39745	210223
318	39858	210040
319	39977	209882
320	40090	209696
321	40212	209553
322	40330	209393
323	40459	209289
324	40578	209133
325	40696	208974
326	40823	208860
327	40934	208666
328	41048	208488
329	41175	208371
330	41300	208248
331	41400	208000
332	41522	207862
333	41634	207674
334	41711	207312
335	41828	207152
336	41954	207031
337	42077	206901
338	42193	206735
339	42314	206595
340	42367	206123
341	42502	206048
342	42600	205800
343	42720	205655
344	42831	205465
345	42965	205391
346	43086	205251
347	43191	205036
348	43312	204897
349	43440	204790
350	43561	204652
351	43672	204468
352	43803	204374
353	43936	204292
354	43972	203759
355	44091	203613
356	44225	203535
357	44349	203412
358	44479	203318
359	44599	203176
360	44714	203012
361	44809	202755
362	44922	202586
363	45056	202507
364	45169	202335
365	45312	202294
366	45430	202147
367	45535	201938
368	45643	201745
369	45727	201449
370	45850	201323
371	45961	201143
372	46077	200985
373	46189	200814
374	46293	200603
375	46426	200523
376	46556	200429
377	46608	199997
378	46729	199862
379	46764	199362
380	46880	199211
381	46984	199007
382	47102	198861
383	47222	198729
384	47338	198574
385	47466	198473
386	47583	198328
387	47718	198253
388	47837	198113
389	47983	198083
390	48093	197910
391	48224	197817
392	48334	197642
393	48429	197406
394	48566	197341
395	48684	197195
396	48786	196990
397	48872	196717
398	48998	196607
399	49124	196497
400	49188	196141
401	49316	196040
402	49436	195905
403	49548	195739
404	49679	195653
405	49813	195573
406	49926	195414
407	50032	195224
408	50153	195095
409	50266	194937
410	50388	194810
411	50508	194679
412	50629	194549
413	50685	194172
414	50809	194056
415	50921	193894
416	51023	193694
417	51142	193556
418	51198	193183
419	51328	193092
420	51449	192965
421	51584	192891
422	51700	192744
423	51810	192578
424	51919	192409
425	52037	192270
426	52167	192177
427	52295	192074
428	52420	191963
429	52458	191535
430	52586	191432
431	52719	191351
432	52817	191143
433	52925	190970
434	53041	190826
435	53178	190760
436	53308	190666
437	53435	190562
438	53552	190422
439	53667	190275
440	53780	190122
441	53906	190013
442	54039	189929
443	54171	189843
444	54299	189744
445	54413	189592
446	54526	189439
447	54638	189282
448	54769	189191
449	54831	188863
450	54957	188757
451	55075	188622
452	55211	188546
453	55291	188282
454	55399	188115
455	55533	188034
456	55637	187851
457	55718	187594
458	55801	187342
459	55919	187208
460	56029	187047
461	56156	186946
462	56282	186839
463	56413	186747
464	56523	186588
465	56651	186487
466	56778	186383
467	56903	186274
468	57022	186143
469	57156	186061
470	57269	185912
471	57383	185768
472	57516	185682
473	57627	185526
474	57766	185460
475	57886	185335
476	58010	185220
477	58150	185158
478	58253	184975
479	58327	184704
480	58439	184553
481	58559	184426
482	58677	184294
483	58798	184171
484	58939	184111
485	59062	183992
486	59114	183656
487	59237	183539
488	59342	183366
489	59465	183251
490	59579	183107
491	59688	182946
492	59816	182847
493	59937	182725
494	60077	182659
495	60236	182652
496	60378	182593
497	60539	182589
498	60698	182583
499	60899	182697
500	61096	182801
501	61242	182752
