match_id,map_name,team_a,team_b,team_a_win,best_of,event_stage,match_date,acs_diff,kills_diff,deaths_diff,assists_diff
10,Haven,smoke,Obey Alliance,0,Bo1,Week 1: Group A,2020-05-02,0.0,0.0,0.0,0.0
100,Haven,smoke,Moscow 5 Academy,0,Bo3,Week 2: Playoffs,2020-05-10,0.0,0.0,0.0,0.0
100,Bind,smoke,Moscow 5 Academy,1,Bo3,Week 2: Playoffs,2020-05-10,0.0,0.0,0.0,0.0
100,Split,smoke,Moscow 5 Academy,1,Bo3,Week 2: Playoffs,2020-05-10,0.0,0.0,0.0,0.0
10000,Bind,NUTURN,F4Q,1,Bo3,Open Qualifier: Round of 16,2021-02-09,47.0,20.0,-20.0,13.0
10000,Haven,NUTURN,F4Q,0,Bo3,Open Qualifier: Round of 16,2021-02-09,-46.39999999999998,-20.0,20.0,-11.0
10000,Ascent,NUTURN,F4Q,1,Bo3,Open Qualifier: Round of 16,2021-02-09,43.0,17.0,-17.0,10.0
100001,Ascent,NYFU,Acacia,1,Bo3,Main Event: Round of 16,2022-05-11,-0.5999999999999943,2.0,-2.0,0.0
100001,Split,NYFU,Acacia,1,Bo3,Main Event: Round of 16,2022-05-11,60.80000000000001,18.0,-18.0,7.0
100002,Haven,Lycus Empire,AstraSect,1,Bo3,Main Event: Round of 16,2022-05-11,-7.200000000000017,-2.0,2.0,2.0
100002,Ascent,Lycus Empire,AstraSect,0,Bo3,Main Event: Round of 16,2022-05-11,-22.19999999999999,-15.0,14.0,-1.0
100002,Icebox,Lycus Empire,AstraSect,1,Bo3,Main Event: Round of 16,2022-05-11,86.4,29.0,-29.0,9.0
100004,Breeze,Knights Academy,New Moon,1,Bo3,Main Event: Round of 16,2022-05-11,63.400000000000006,24.0,-24.0,9.0
100004,Haven,Knights Academy,New Moon,1,Bo3,Main Event: Round of 16,2022-05-11,13.599999999999994,11.0,-11.0,-3.0
100005,Fracture,Oxygen Academy,TradeLikePros,1,Bo3,Main Event: Round of 16,2022-05-11,41.60000000000002,16.0,-16.0,17.0
100005,Haven,Oxygen Academy,TradeLikePros,1,Bo3,Main Event: Round of 16,2022-05-11,73.20000000000002,31.0,-31.0,15.0
100006,Ascent,romi n frends,RILLAS,0,Bo3,Main Event: Round of 16,2022-05-11,-92.20000000000002,-38.0,38.0,-15.0
100006,Split,romi n frends,RILLAS,0,Bo3,Main Event: Round of 16,2022-05-11,-51.80000000000001,-23.0,23.0,-4.0
100007,Ascent,Toon Balloons,OOKERS,0,Bo3,Main Event: Round of 16,2022-05-11,-25.19999999999999,-12.0,12.0,-19.0
100007,Breeze,Toon Balloons,OOKERS,1,Bo3,Main Event: Round of 16,2022-05-11,22.400000000000006,10.0,-10.0,2.0
100007,Bind,Toon Balloons,OOKERS,1,Bo3,Main Event: Round of 16,2022-05-11,49.400000000000006,18.0,-18.0,1.0
100008,Haven,AVESTA,Elysium,0,Bo3,Main Event: Round of 16,2022-05-11,-21.799999999999983,-14.0,14.0,-18.0
100008,Ascent,AVESTA,Elysium,0,Bo3,Main Event: Round of 16,2022-05-11,-55.0,-27.0,27.0,-13.0
100009,Icebox,NYFU,Lycus Empire,1,Bo3,Main Event: Quarterfinals,2022-05-12,38.20000000000002,15.0,-15.0,13.0
100009,Split,NYFU,Lycus Empire,1,Bo3,Main Event: Quarterfinals,2022-05-12,33.599999999999994,15.0,-15.0,8.0
10001,Ascent,Hamtori ZunDeZinx,Saviors,1,Bo3,Open Qualifier: Round of 16,2021-02-09,16.200000000000017,12.0,-12.0,4.0
10001,Split,Hamtori ZunDeZinx,Saviors,1,Bo3,Open Qualifier: Round of 16,2021-02-09,22.19999999999999,10.0,-10.0,8.0
100010,Breeze,Flex Gaming,Knights Academy,0,Bo3,Main Event: Quarterfinals,2022-05-12,-18.80000000000001,-11.0,11.0,7.0
100010,Split,Flex Gaming,Knights Academy,0,Bo3,Main Event: Quarterfinals,2022-05-12,-18.19999999999999,-15.0,15.0,3.0
100011,Ascent,Oxygen Academy,RILLAS,1,Bo3,Main Event: Quarterfinals,2022-05-12,27.19999999999999,14.0,-14.0,4.0
100011,Icebox,Oxygen Academy,RILLAS,0,Bo3,Main Event: Quarterfinals,2022-05-12,-77.80000000000001,-31.0,31.0,-14.0
100011,Fracture,Oxygen Academy,RILLAS,1,Bo3,Main Event: Quarterfinals,2022-05-12,110.4,38.0,-38.0,23.0
100012,Haven,Toon Balloons,Elysium,0,Bo3,Main Event: Quarterfinals,2022-05-12,-56.80000000000001,-20.0,20.0,-10.0
100012,Fracture,Toon Balloons,Elysium,0,Bo3,Main Event: Quarterfinals,2022-05-12,-2.6000000000000227,-5.0,5.0,-14.0
100013,Breeze,NYFU,Knights Academy,1,Bo3,Main Event: Semifinals,2022-05-12,24.200000000000017,14.0,-14.0,11.0
100013,Split,NYFU,Knights Academy,1,Bo3,Main Event: Semifinals,2022-05-12,49.400000000000006,23.0,-23.0,-8.0
100014,Haven,Oxygen Academy,Elysium,1,Bo3,Main Event: Semifinals,2022-05-12,60.0,27.0,-27.0,31.0
100014,Ascent,Oxygen Academy,Elysium,1,Bo3,Main Event: Semifinals,2022-05-12,52.0,22.0,-22.0,19.0
100015,Ascent,NYFU,Oxygen Academy,0,Bo3,Main Event: Grand Final,2022-05-12,-46.599999999999994,-21.0,21.0,-11.0
100015,Split,NYFU,Oxygen Academy,0,Bo3,Main Event: Grand Final,2022-05-12,-25.80000000000001,-16.0,16.0,-7.0
10002,Haven,TUBEPLE Gaming,TNL Esports,0,Bo3,Open Qualifier: Quarterfinals,2021-02-09,-19.80000000000001,-14.0,14.0,1.0
10002,Split,TUBEPLE Gaming,TNL Esports,0,Bo3,Open Qualifier: Quarterfinals,2021-02-09,13.0,8.0,-8.0,2.0
