match_id,map_name,team,player_name,agent,rating,acs,kills,deaths,assists,kast,adr,hs_percent,first_kills,first_deaths,fk_fd_diff
510153,Sunset,FNATIC,crashies,Sova,1.18,245,20,17,3,61%,164,35%,0,1,-1
510153,Sunset,FNATIC,Alfajer,Neon,1.08,236,19,18,3,83%,145,21%,7,3,+4
510153,Sunset,FNATIC,Chronicle,Cypher,1.02,206,16,18,6,61%,145,27%,1,3,-2
510153,Sunset,FNATIC,kaajak,Yoru,0.61,161,13,19,3,61%,104,27%,2,6,-4
510153,Sunset,FNATIC,Boaster,Omen,0.44,82,5,18,9,52%,57,32%,0,0,0
510153,Sunset,Paper Rex,f0rsakeN,Omen,1.22,266,25,17,8,83%,190,36%,2,3,-1
510153,Sunset,Paper Rex,Jinggg,Raze,1.20,211,18,12,5,91%,144,19%,3,3,0
510153,Sunset,Paper Rex,d4v41,Sage,1.06,189,16,13,7,70%,116,37%,2,2,0
510153,Sunset,Paper Rex,something,Sova,0.99,206,16,15,7,87%,141,29%,3,0,+3
510153,Sunset,Paper Rex,PatMen,Viper,0.95,196,15,16,5,70%,138,28%,3,2,+1
510153,Ascent,FNATIC,Chronicle,Vyse,1.74,291,18,8,3,69%,200,20%,5,0,+5
510153,Ascent,FNATIC,Boaster,Omen,1.29,189,10,8,13,88%,114,6%,2,0,+2
510153,Ascent,FNATIC,Alfajer,Chamber,1.22,270,16,13,4,75%,207,32%,2,3,-1
510153,Ascent,FNATIC,kaajak,Yoru,1.21,224,14,10,1,69%,158,64%,2,1,+1
510153,Ascent,FNATIC,crashies,Sova,1.02,102,8,6,2,69%,72,38%,0,1,-1
510153,Ascent,Paper Rex,d4v41,Viper,0.85,213,11,13,3,69%,147,21%,1,2,-1
510153,Ascent,Paper Rex,f0rsakeN,Fade,0.80,224,11,14,4,50%,148,25%,3,3,0
510153,Ascent,Paper Rex,PatMen,Kayo,0.75,153,8,12,6,56%,96,38%,0,1,-1
510153,Ascent,Paper Rex,something,Jett,0.69,154,9,13,0,50%,99,25%,1,4,-3
510153,Ascent,Paper Rex,Jinggg,Omen,0.49,143,6,14,4,56%,105,26%,0,1,-1
510153,Split,FNATIC,kaajak,Yoru,1.86,361,29,11,4,81%,223,42%,5,1,+4
510153,Split,FNATIC,Chronicle,Viper,1.57,245,19,8,8,90%,157,26%,2,2,0
510153,Split,FNATIC,Alfajer,Raze,1.10,284,20,17,7,81%,196,36%,6,4,+2
510153,Split,FNATIC,crashies,Fade,0.96,122,8,10,13,81%,89,34%,0,0,0
510153,Split,FNATIC,Boaster,Astra,0.80,107,7,10,5,71%,82,30%,0,1,-1
510153,Split,Paper Rex,f0rsakeN,Omen,0.93,166,15,16,2,62%,97,17%,3,1,+2
510153,Split,Paper Rex,something,Yoru,0.91,205,15,16,6,71%,134,17%,3,2,+1
510153,Split,Paper Rex,d4v41,Viper,0.72,146,10,17,4,57%,105,15%,0,3,-3
510153,Split,Paper Rex,Jinggg,Raze,0.71,192,11,19,5,52%,135,13%,2,6,-4
510153,Split,Paper Rex,PatMen,Fade,0.40,77,5,16,7,52%,56,25%,0,1,-1
