Player,Team,Agents,RND,Rating,ACS,K:D,KAST,ADR,KPR,APR,FKPR,FDPR,HS%,CL%,Clutches,KMax,K,D,A,FK,FD
Tastyy,AKV.GC,,308,1.47,282.1,1.79,78%,184.0,1.04,0.22,0.17,0.09,29%,33%,13/39,38,321,179,68,51,28
StarBound,WADA,,510,1.40,251.9,1.69,80%,159.2,0.95,0.16,0.18,0.05,16%,11%,10/87,38,484,286,80,91,25
Ayumiii,HYPA,,416,1.36,280.0,1.57,78%,173.7,1.00,0.24,0.25,0.11,23%,21%,8/39,26,416,265,99,102,47
miNt,FL.GC,,281,1.32,274.9,1.52,76%,175.9,0.99,0.18,0.25,0.15,35%,,0/9,28,279,183,50,71,42
DaNa,NTZ,,300,1.31,300.4,1.40,75%,190.9,1.02,0.24,0.24,0.15,32%,13%,3/23,34,307,220,71,71,44
dods,KRÜ.B,,254,1.31,315.2,1.48,71%,191.3,1.10,0.14,0.24,0.13,33%,27%,3/11,34,280,189,36,60,34
tess,MLT.GC,,355,1.30,241.4,1.31,78%,150.9,0.86,0.45,0.12,0.03,31%,19%,10/53,30,306,234,158,42,11
Dragon,KING,,351,1.30,230.8,1.43,79%,149.3,0.85,0.44,0.09,0.05,37%,29%,10/35,23,298,209,155,29,16
tok1o,UW.GC,,437,1.30,273.7,1.33,70%,170.5,0.95,0.18,0.21,0.13,28%,15%,6/39,32,414,311,77,92,56
s0nsuZ,EXG.GC,,352,1.29,265.8,1.41,74%,153.4,0.93,0.18,0.20,0.10,34%,24%,13/55,26,328,232,65,69,35
trent,G2,,714,1.27,220.8,1.34,80%,148.5,0.80,0.31,0.08,0.06,29%,23%,26/115,28,568,424,224,59,41
VASQUEZ,BAAM,,212,1.27,284.2,1.38,70%,176.7,1.04,0.10,0.22,0.15,29%,30%,3/10,30,220,159,22,46,32
suzu,FL.GC,,281,1.26,245.6,1.37,76%,159.7,0.89,0.32,0.12,0.09,24%,22%,5/23,30,249,182,89,34,26
Jelly,TL,,231,1.25,237.3,1.30,80%,156.0,0.85,0.43,0.10,0.06,31%,18%,4/22,24,196,151,100,23,14
ComeBack,M8,,671,1.25,266.4,1.40,73%,164.8,0.94,0.16,0.20,0.13,28%,15%,9/62,28,632,453,108,134,90
ferret,TSG.GC,,256,1.25,244.0,1.34,76%,163.1,0.87,0.30,0.14,0.10,39%,24%,7/29,34,223,167,78,36,25
twelve,RVL,,279,1.25,236.7,1.29,71%,157.7,0.85,0.26,0.10,0.07,30%,26%,16/61,31,238,184,73,28,20
Moco,FL.GC,,281,1.25,208.9,1.31,80%,130.1,0.72,0.57,0.07,0.04,22%,26%,9/34,21,203,155,160,21,11
Lightningfast,VLT,,338,1.24,235.8,1.40,80%,147.1,0.87,0.38,0.07,0.06,37%,17%,6/36,24,295,211,127,23,19
natz,RRQA,,243,1.24,259.8,1.42,74%,158.1,0.94,0.19,0.14,0.11,31%,8%,2/25,28,229,161,46,35,26
Jid,FOCU,,216,1.23,240.2,1.33,72%,156.5,0.88,0.15,0.13,0.05,39%,13%,5/38,22,189,142,33,29,10
Muffyn,ALG.GC,,318,1.23,266.6,1.32,72%,166.9,0.94,0.18,0.16,0.11,26%,15%,5/33,31,299,227,58,52,36
GuhRVN,LOS,,226,1.23,225.3,1.34,75%,146.0,0.82,0.35,0.12,0.10,30%,17%,5/29,30,185,138,78,26,23
Sevire,KCBS,,300,1.23,236.1,1.32,74%,153.2,0.83,0.29,0.11,0.09,30%,32%,11/34,23,249,188,87,34,28
Logic,TDY,,246,1.22,238.8,1.26,75%,154.8,0.83,0.33,0.11,0.06,23%,13%,7/52,26,205,163,81,26,14
canezerra,NV,,698,1.22,275.1,1.32,74%,172.3,0.97,0.26,0.20,0.13,29%,16%,7/45,33,676,512,179,141,90
WIRE,MVR.GC,,413,1.22,265.4,1.27,73%,172.5,0.93,0.25,0.19,0.12,30%,27%,8/30,28,384,302,105,78,49
babytz,HYPA,,416,1.22,247.1,1.41,79%,159.2,0.88,0.26,0.12,0.08,26%,20%,9/44,25,367,260,108,50,33
dodonut,SRG,,400,1.22,251.5,1.31,72%,160.9,0.89,0.23,0.20,0.16,27%,27%,8/30,32,356,272,91,79,65
stonezy,RBT,,280,1.22,256.6,1.25,70%,162.7,0.93,0.22,0.19,0.10,27%,25%,7/28,32,261,209,61,52,29
Pa1ze,GMX,,220,1.22,277.6,1.29,70%,174.5,0.98,0.12,0.25,0.22,25%,6%,1/17,39,215,167,27,54,48
xhipfy,FSC,,283,1.21,276.9,1.18,66%,182.3,0.93,0.19,0.21,0.17,35%,21%,6/28,23,262,222,54,60,48
Ivy,AKV.GC,,308,1.21,224.9,1.37,80%,151.3,0.82,0.32,0.06,0.07,35%,19%,7/36,24,254,186,100,19,22
grahams,XIP.GC,,382,1.21,221.9,1.28,75%,140.0,0.81,0.39,0.08,0.06,35%,21%,10/47,25,309,241,148,29,24
bstrdd,MIBR.GC,,290,1.21,257.2,1.31,76%,157.8,0.88,0.25,0.20,0.14,25%,39%,9/23,23,256,195,72,57,40
LEW,KING,,351,1.20,236.8,1.39,74%,153.1,0.84,0.23,0.15,0.10,26%,15%,5/33,27,295,212,79,52,33
Bahzar,CAT,,287,1.20,233.3,1.23,74%,146.6,0.86,0.17,0.08,0.07,40%,23%,11/47,29,248,202,50,23,19
glacier,GOD,,238,1.20,255.4,1.27,74%,160.4,0.89,0.35,0.11,0.11,32%,14%,2/14,24,211,166,84,26,27
PROFEK,BBL,,465,1.20,226.2,1.22,76%,143.4,0.78,0.44,0.09,0.06,27%,4%,2/50,37,365,300,205,40,27
Brinks,2G.AC,,228,1.20,218.2,1.31,74%,142.5,0.79,0.33,0.11,0.07,31%,21%,6/28,27,181,138,75,24,16
infiltrator,WU,,1088,1.20,259.5,1.29,74%,163.5,0.92,0.19,0.19,0.14,29%,18%,13/73,28,1001,778,209,204,149
Fizzy,MOUZ,,300,1.20,229.2,1.27,75%,148.9,0.82,0.19,0.13,0.06,31%,20%,12/59,26,247,194,56,39,19
Cade3k,TS,,231,1.20,246.9,1.19,78%,163.0,0.91,0.38,0.07,0.09,31%,17%,6/35,31,210,177,87,16,21
erde,LEV.AC,,401,1.20,199.2,1.29,76%,133.0,0.71,0.43,0.08,0.05,31%,13%,7/56,27,286,222,171,31,22
Tiezzi,ELV,,330,1.19,270.1,1.22,72%,175.6,0.94,0.19,0.23,0.18,25%,16%,4/25,38,310,254,63,76,58
ZynX,DRX.AC,,290,1.19,227.2,1.24,67%,147.6,0.86,0.24,0.10,0.07,35%,19%,6/32,34,248,200,70,30,19
berryx,HVND,,587,1.19,268.7,1.24,74%,169.5,0.94,0.22,0.25,0.16,29%,19%,10/52,33,554,448,127,147,92
Lied,AKV.GC,,308,1.19,229.4,1.22,78%,152.7,0.82,0.31,0.13,0.14,25%,20%,5/25,29,252,207,97,39,44
enerii,FLCV,,752,1.19,261.2,1.28,75%,165.1,0.90,0.22,0.22,0.13,23%,17%,9/52,28,680,531,167,162,96
invy,TS,,237,1.19,235.9,1.19,71%,164.4,0.84,0.26,0.07,0.06,31%,7%,2/29,25,198,167,62,15,13
aspas,MIBR,,602,1.19,236.8,1.28,71%,154.0,0.86,0.14,0.19,0.15,27%,21%,12/56,30,518,405,86,115,91
whzy,Toe,,657,1.19,262.3,1.27,71%,163.8,0.93,0.21,0.20,0.15,26%,13%,2/16,29,610,482,136,100,77
alannah,TSG.GC,,256,1.19,223.2,1.27,80%,146.0,0.77,0.37,0.08,0.07,23%,21%,5/24,20,197,155,94,20,18
h4ste,NTZ,,366,1.18,232.4,1.20,77%,142.1,0.81,0.46,0.11,0.10,30%,25%,7/28,31,297,248,167,40,36
tiff,TSG.GC,,236,1.18,227.6,1.30,77%,155.3,0.83,0.20,0.11,0.08,31%,,0/24,29,196,151,48,27,19
Joliinaa,SK.N,,884,1.18,246.6,1.24,76%,157.0,0.87,0.24,0.14,0.10,21%,16%,12/76,30,766,618,214,126,92
t3xture,GEN,,545,1.18,254.8,1.35,71%,158.8,0.91,0.18,0.20,0.17,27%,31%,11/35,27,494,367,96,108,95
seph1roth,FS,,391,1.18,236.4,1.17,77%,154.7,0.79,0.39,0.09,0.09,35%,10%,5/49,29,310,266,152,34,34
KADIRI,KING,,420,1.18,232.1,1.29,75%,155.0,0.83,0.20,0.11,0.07,34%,20%,8/41,32,349,270,83,44,30
murza,LNF,,397,1.18,238.3,1.23,74%,157.1,0.86,0.23,0.15,0.12,23%,26%,12/46,33,343,278,90,58,49
qu1ckz,,,367,1.18,231.3,1.16,75%,156.6,0.84,0.29,0.07,0.06,32%,12%,5/42,23,308,265,106,25,23
MAGiK,TWIS,,635,1.17,218.6,1.21,77%,141.5,0.82,0.38,0.06,0.05,31%,15%,12/82,32,518,429,241,37,32
LizA,SK.N,,775,1.17,210.6,1.20,73%,140.6,0.77,0.27,0.06,0.06,38%,21%,24/112,23,594,494,208,46,43
AL7B,NBL,,384,1.17,216.3,1.20,72%,145.1,0.79,0.35,0.07,0.05,26%,22%,14/65,23,304,253,134,26,18
SereNa,DRX.CH,,236,1.17,238.9,1.14,69%,159.3,0.83,0.19,0.13,0.06,27%,11%,5/45,33,196,172,44,31,14
soko,EXG.GC,,286,1.17,267.2,1.27,72%,159.0,0.93,0.20,0.17,0.09,27%,17%,2/12,35,266,210,58,49,27
kaajak,FNC,,726,1.17,236.9,1.28,74%,153.4,0.85,0.17,0.19,0.14,34%,16%,9/58,32,614,481,124,138,102
332,NTZ,,366,1.17,224.9,1.36,73%,149.7,0.81,0.17,0.11,0.09,23%,14%,8/58,28,298,219,61,40,33
Izzy,EF,,543,1.17,230.2,1.28,71%,145.1,0.81,0.14,0.18,0.11,29%,13%,7/52,29,441,344,78,97,61
sibeastw0w,QAD,,758,1.16,247.3,1.21,71%,157.2,0.88,0.19,0.22,0.16,27%,15%,12/78,40,666,550,143,170,120
skuba,NRG,,616,1.16,213.4,1.31,75%,137.4,0.80,0.26,0.06,0.07,28%,19%,22/113,31,491,375,161,39,46
oonzmlp,SLT,,306,1.16,219.9,1.18,72%,138.1,0.79,0.31,0.11,0.08,31%,28%,11/40,24,242,205,95,35,24
Venka,RNTX,,327,1.16,235.6,1.23,72%,157.0,0.84,0.22,0.13,0.12,35%,17%,4/23,31,275,223,72,41,39
waddle,DSY,,228,1.16,200.5,1.22,77%,131.2,0.74,0.34,0.07,0.07,27%,7%,2/27,19,168,138,78,15,16
